"PID","Ethnicity","Sex.1m","Age","height","weight"
"AADHC",2,"1",71,153.3,61.9
"AAN4P",2,"1",18,155.3,51.6
"AAA8M",2,"1",46,165.4,58.05
"AAMEZ",2,"1",30,162.5,62.9
"AAFN6",2,"2",20,146.7,45.4
"AABHH",2,"2",45,144.8,41.3
"AAD32",2,"1",6,106.9,18
"AAHBG",2,"1",68,156.2,46.75
"AAFX9",2,"2",68,143.5,40.2
"AAJJ2",2,"1",28,166.5,63.1
"AAGU2",2,"1",50,154.4,61.85
"AANYF",2,"2",53,132.5,38.15
"AAFJ3",2,"2",28,146.2,49.75
"AANX2",2,"1",12,135.5,30.8
"AAHYR",2,"1",13,142.4,39.45
"AAKVK",2,"1",8,116.5,20.6
"AAM6F",2,"1",3,127,25.3
"AADFA",2,"1",5,101.5,15.85
"AAGZB",2,"1",3,92.9,13.65
"AAKU9",2,"2",2,75.1,9.85
"AAJ6B",2,"1",12,131.6,29.6
"AAEA9",2,"1",10,126.1,27.4
"AAE9G",2,"1",13,139.8,37
"AAFDX",2,"1",11,126.6,26.3
"AAFKU",2,"1",8,120.5,23.85
"AAHUE",2,"2",25,153.1,48.55
"AAF47",2,"1",30,165.1,65.3
"AAMJX",2,"2",11,145.6,37.45
"AAA3W",2,"1",1,81.8,NA
"AAJBP",2,"1",4,107.3,19.45
"AAAZW",2,"2",8,122.2,25.3
"AANVX",2,"1",31,150.8,49.65
"AAJ4U",2,"2",40,143.4,55.95
"AAJT6",2,"1",12,149.3,45.8
"AAHTY",2,"1",7,110,22.7
"AAFKC",2,"1",3,90,14.1
"AAFAC",2,"2",3,89.9,12.85
"AAF79",2,"1",48,162.9,60.85
"AAAEQ",2,"2",8,116.2,23.15
"AABGE",2,"2",23,147.5,51.05
"AAGPX",2,"2",5,99.5,15.55
"AAMWH",2,"1",4,98.7,15.9
"AACWR",2,"1",5,99.1,15.5
"AACTW",2,"2",4,99.4,15.05
"AAN32",2,"1",5,98.1,14.9
"AAD3X",2,"1",3,88.4,12.6
"AAK69",2,"2",3,90.1,13.15
"AANRB",2,"2",4,96.8,15.8
"AAFWX",2,"1",5,99.4,15.9
"AADFA",2,"1",5,97.2,15
"AAE7T",2,"2",5,101.3,16
"AAMMD",2,"2",29,154,59.05
"AACPX",2,"1",17,158.4,50.8
"AADFH",2,"2",7,109.6,18.95
"AAKBQ",2,"1",7,107.8,17.95
"AAGQE",2,"1",6,104.9,16.65
"AAJ2E",2,"2",7,109.6,18.9
"AACBC",2,"2",7,112.4,20.25
"AAFMR",2,"2",7,113,19.2
"AAHRV",2,"2",6,105.8,17.9
"AABJJ",2,"2",8,118,21.55
"AAEVP",2,"2",8,115.7,20.3
"AANK6",2,"2",7,114.8,20.35
"AAFWB",2,"2",11,125,23.3
"AAJ6V",2,"2",11,135.2,36.35
"AACNJ",2,"2",11,134.5,27.1
"AAF33",2,"2",10,124.2,25.55
"AAHMX",2,"2",11,143.2,41.55
"AAJAG",2,"1",7,120.1,23.55
"AAHTH",2,"2",13,131.7,30.9
"AAJNY",2,"1",11,132.3,27.05
"AANFR",2,"1",12,154.5,43.65
"AAEUV",2,"2",13,146.8,41.5
"AAMDX",2,"1",12,153.5,42.75
"AAJAE",2,"2",10,132.7,30.75
"AAAPC",2,"1",13,157.7,53.15
"AAMTM",2,"2",11,136.7,33.55
"AAGZW",2,"1",12,151,42.35
"AAHKX",2,"2",15,155.8,55.65
"AANKW",2,"2",13,153.2,45.3
"AAK3D",2,"2",12,142.3,37.85
"AADKW",2,"2",9,122.8,24.7
"AACW9",2,"2",8,118.9,25.3
"AACZ4",2,"1",7,110.9,19.25
"AAGTG",2,"1",8,111.8,20.5
"AADVA",2,"1",8,108.7,20.15
"AAJND",2,"2",24,153.9,54.65
"AAKDE",2,"1",2,85.5,12.05
"AAE43",2,"1",27,162.7,68.65
"AANUA",2,"1",22,161.8,65.45
"AACT6",2,"1",30,159.5,73.05
"AAF6N",2,"1",27,153.8,74.15
"AAEMD",2,"2",16,148.9,51.2
"AAKRX",2,"2",1,NA,NA
"AAFHC",2,"2",9,118.9,14.45
"AAKDU",2,"2",14,147.5,47.55
"AAFHN",2,"2",15,144.4,52.9
"AAE4D",2,"2",13,139.6,47.05
"AAK7N",2,"1",17,159,62.25
"AABJW",2,"2",18,154.9,65.2
"AAMQM",2,"1",18,159.4,53.25
"AAMZP",2,"1",13,135.1,31.15
"AAD6C",2,"1",19,170.5,62.7
"AANAH",2,"1",18,158.2,63.05
"AAF8U",2,"1",15,161.2,55.4
"AAE3W",2,"1",15,145.8,43.6
"AAEW4",2,"1",18,152.6,52.45
"AAGYW",2,"1",15,154.2,53.65
"AAGAN",2,"1",14,153.9,44.35
"AAH9K",2,"1",15,151,42.7
"AAETK",2,"1",18,167.7,57.55
"AAA48",2,"1",13,140.2,35.6
"AAB2R",2,"2",12,144.4,41.55
"AAEYA",2,"2",14,150.9,52.9
"AAKC7",2,"2",16,161.6,62.45
"AAMV9",2,"2",16,151.5,52.55
"AAJMN",2,"2",19,151.1,51.35
"AAGE7",2,"2",14,152.5,48.8
"AAC37",2,"2",17,154.4,59.45
"AABYP",2,"1",16,153.4,49.45
"AABBX",2,"1",18,159.3,61.2
"AAKJB",2,"1",18,162,60.1
"AABX3",2,"2",14,144.7,54.4
"AABTE",2,"1",16,163.6,58.4
"AACGZ",2,"2",15,151.2,49.8
"AAHTH",2,"2",13,143.8,43.05
"AAHF2",2,"1",17,170.5,61.2
"AAFGN",2,"1",15,158.4,52.55
"AAF6Z",2,"2",13,154.6,50.3
"AAHQ9",2,"2",16,151.9,50.8
"AAD3C",2,"1",14,142.7,38.7
"AADD4",2,"1",19,166.5,59.55
"AAEUX",2,"1",17,161,59
"AAKPZ",2,"1",50,160,66
"AAJHT",2,"2",45,151,66
