sex,years,months,L,S,P3,P10,P25,M,P75,P90,P97
1,10,120,-0.2,0,50.1,51,51.9,52.9,53.9,54.8,55.8
1,10.5,126,-0.1,0,50.4,51.2,52.1,53.1,54.2,55.1,56
1,11,132,-0.1,0,50.6,51.5,52.4,53.4,54.4,55.4,56.3
1,11.5,138,-0.1,0,50.8,51.7,52.6,53.6,54.7,55.6,56.6
1,12,144,-0.1,0,51.1,52,52.9,53.9,54.9,55.9,56.8
1,12.5,150,0,0,51.3,52.2,53.1,54.1,55.2,56.1,57.1
1,13,156,0,0,51.5,52.4,53.3,54.4,55.4,56.4,57.3
1,13.5,162,0,0,51.7,52.6,53.5,54.6,55.6,56.6,57.6
1,14,168,0,0,51.9,52.8,53.7,54.7,55.8,56.7,57.7
1,14.5,174,0,0,51.9,52.8,53.8,54.8,55.9,56.8,57.8
1,15,180,0,0,52,52.9,53.8,54.8,55.9,56.9,57.9
1,15.5,186,0,0,52,52.9,53.9,54.9,56,56.9,57.9
1,16,192,0,0,52.1,53,53.9,54.9,56,57,57.9
1,16.5,198,0,0,52.1,53,53.9,54.9,56,57,58
1,17,204,0,0,52.1,53,53.9,55,56,57,58
1,17.5,210,0,0,52.1,53,54,55,56.1,57.1,58
1,18,216,0,0,52.2,53.1,54,55.1,56.1,57.1,58.1
